index,dataset,model1,model2,compare
0,steam,LLaMA2,ChatGLM2,1.0
1,steam,LLaMA2,ChatGLM2,1.0
2,steam,LLaMA2,ChatGLM2,1.0
3,steam,LLaMA2,ChatGLM2,1.0
4,steam,LLaMA2,ChatGLM2,1.0
5,steam,LLaMA2,ChatGLM2,1.0
6,steam,LLaMA2,ChatGLM2,1.0
7,steam,LLaMA2,ChatGLM2,1.0
8,steam,LLaMA2,ChatGLM2,1.0
9,steam,LLaMA2,ChatGLM2,1.0
10,steam,LLaMA2,ChatGLM2,1.0
11,steam,LLaMA2,ChatGLM2,1.0
12,steam,LLaMA2,ChatGLM2,1.0
13,steam,LLaMA2,ChatGLM2,1.0
14,steam,LLaMA2,ChatGLM2,1.0
15,steam,LLaMA2,ChatGLM2,1.0
16,steam,LLaMA2,ChatGLM2,1.0
17,steam,LLaMA2,ChatGLM2,1.0
18,steam,LLaMA2,ChatGLM2,2.0
19,steam,LLaMA2,ChatGLM2,1.0
20,steam,LLaMA2,ChatGLM2,1.0
21,steam,LLaMA2,ChatGLM2,1.0
22,steam,LLaMA2,ChatGLM2,2.0
23,steam,LLaMA2,ChatGLM2,1.0
24,steam,LLaMA2,ChatGLM2,1.0
25,steam,LLaMA2,ChatGLM2,1.0
26,steam,LLaMA2,ChatGLM2,1.0
27,steam,LLaMA2,ChatGLM2,1.0
28,steam,LLaMA2,ChatGLM2,1.0
29,steam,LLaMA2,ChatGLM2,1.0
30,steam,LLaMA2,ChatGLM2,1.0
31,steam,LLaMA2,ChatGLM2,1.0
32,steam,LLaMA2,ChatGLM2,1.0
33,steam,LLaMA2,ChatGLM2,1.0
34,steam,LLaMA2,ChatGLM2,1.0
35,steam,LLaMA2,ChatGLM2,2.0
36,steam,LLaMA2,ChatGLM2,1.0
37,steam,LLaMA2,ChatGLM2,1.0
38,steam,LLaMA2,ChatGLM2,1.0
39,steam,LLaMA2,ChatGLM2,1.0
40,steam,LLaMA2,ChatGLM2,1.0
41,steam,LLaMA2,ChatGLM2,1.0
42,steam,LLaMA2,ChatGLM2,1.0
43,steam,LLaMA2,ChatGLM2,2.0
44,steam,LLaMA2,ChatGLM2,1.0
45,steam,LLaMA2,ChatGLM2,1.0
46,steam,LLaMA2,ChatGLM2,1.0
47,steam,LLaMA2,ChatGLM2,1.0
48,steam,LLaMA2,ChatGLM2,1.0
49,steam,LLaMA2,ChatGLM2,2.0
50,steam,LLaMA2,ChatGLM2,1.0
51,steam,LLaMA2,ChatGLM2,1.0
52,steam,LLaMA2,ChatGLM2,1.0
53,steam,LLaMA2,ChatGLM2,1.0
54,steam,LLaMA2,ChatGLM2,1.0
55,steam,LLaMA2,ChatGLM2,1.0
56,steam,LLaMA2,ChatGLM2,1.0
57,steam,LLaMA2,ChatGLM2,1.0
58,steam,LLaMA2,ChatGLM2,1.0
59,steam,LLaMA2,ChatGLM2,1.0
60,steam,LLaMA2,ChatGLM2,1.0
61,steam,LLaMA2,ChatGLM2,1.0
62,steam,LLaMA2,ChatGLM2,1.0
63,steam,LLaMA2,ChatGLM2,1.0
64,steam,LLaMA2,ChatGLM2,1.0
65,steam,LLaMA2,ChatGLM2,1.0
66,steam,LLaMA2,ChatGLM2,1.0
67,steam,LLaMA2,ChatGLM2,1.0
68,steam,LLaMA2,ChatGLM2,1.0
69,steam,LLaMA2,ChatGLM2,1.0
70,steam,LLaMA2,ChatGLM2,1.0
71,steam,LLaMA2,ChatGLM2,1.0
72,steam,LLaMA2,ChatGLM2,1.0
73,steam,LLaMA2,ChatGLM2,1.0
74,steam,LLaMA2,ChatGLM2,1.0
75,steam,LLaMA2,ChatGLM2,1.0
76,steam,LLaMA2,ChatGLM2,1.0
77,steam,LLaMA2,ChatGLM2,1.0
78,steam,LLaMA2,ChatGLM2,1.0
79,steam,LLaMA2,ChatGLM2,2.0
80,steam,LLaMA2,ChatGLM2,1.0
81,steam,LLaMA2,ChatGLM2,1.0
82,steam,LLaMA2,ChatGLM2,1.0
83,steam,LLaMA2,ChatGLM2,1.0
84,steam,LLaMA2,ChatGLM2,2.0
85,steam,LLaMA2,ChatGLM2,1.0
86,steam,LLaMA2,ChatGLM2,1.0
87,steam,LLaMA2,ChatGLM2,1.0
88,steam,LLaMA2,ChatGLM2,1.0
89,steam,LLaMA2,ChatGLM2,1.0
90,steam,LLaMA2,ChatGLM2,1.0
91,steam,LLaMA2,ChatGLM2,2.0
92,steam,LLaMA2,ChatGLM2,1.0
93,steam,LLaMA2,ChatGLM2,1.0
94,steam,LLaMA2,ChatGLM2,1.0
95,steam,LLaMA2,ChatGLM2,1.0
96,steam,LLaMA2,ChatGLM2,1.0
97,steam,LLaMA2,ChatGLM2,1.0
98,steam,LLaMA2,ChatGLM2,1.0
99,steam,LLaMA2,ChatGLM2,1.0
100,steam,LLaMA2,ChatGLM2,1.0
101,steam,LLaMA2,ChatGLM2,1.0
