index,dataset,model1,model2,compare
0,steam,LLaMA2,ChatGLM2,1
1,steam,LLaMA2,ChatGLM2,1
2,steam,LLaMA2,ChatGLM2,1
3,steam,LLaMA2,ChatGLM2,1
4,steam,LLaMA2,ChatGLM2,1
5,steam,LLaMA2,ChatGLM2,1
6,steam,LLaMA2,ChatGLM2,2
7,steam,LLaMA2,ChatGLM2,1
8,steam,LLaMA2,ChatGLM2,1
9,steam,LLaMA2,ChatGLM2,1
10,steam,LLaMA2,ChatGLM2,1
11,steam,LLaMA2,ChatGLM2,1
12,steam,LLaMA2,ChatGLM2,1
13,steam,LLaMA2,ChatGLM2,1
14,steam,LLaMA2,ChatGLM2,1
15,steam,LLaMA2,ChatGLM2,1
16,steam,LLaMA2,ChatGLM2,1
17,steam,LLaMA2,ChatGLM2,1
18,steam,LLaMA2,ChatGLM2,2
19,steam,LLaMA2,ChatGLM2,1
20,steam,LLaMA2,ChatGLM2,1
21,steam,LLaMA2,ChatGLM2,1
22,steam,LLaMA2,ChatGLM2,2
23,steam,LLaMA2,ChatGLM2,1
24,steam,LLaMA2,ChatGLM2,1
25,steam,LLaMA2,ChatGLM2,1
26,steam,LLaMA2,ChatGLM2,1
27,steam,LLaMA2,ChatGLM2,1
28,steam,LLaMA2,ChatGLM2,1
29,steam,LLaMA2,ChatGLM2,1
30,steam,LLaMA2,ChatGLM2,1
31,steam,LLaMA2,ChatGLM2,1
32,steam,LLaMA2,ChatGLM2,1
33,steam,LLaMA2,ChatGLM2,1
34,steam,LLaMA2,ChatGLM2,1
35,steam,LLaMA2,ChatGLM2,2
36,steam,LLaMA2,ChatGLM2,1
37,steam,LLaMA2,ChatGLM2,1
38,steam,LLaMA2,ChatGLM2,1
39,steam,LLaMA2,ChatGLM2,1
40,steam,LLaMA2,ChatGLM2,1
41,steam,LLaMA2,ChatGLM2,1
42,steam,LLaMA2,ChatGLM2,1
43,steam,LLaMA2,ChatGLM2,2
44,steam,LLaMA2,ChatGLM2,1
45,steam,LLaMA2,ChatGLM2,1
46,steam,LLaMA2,ChatGLM2,1
47,steam,LLaMA2,ChatGLM2,1
48,steam,LLaMA2,ChatGLM2,1
49,steam,LLaMA2,ChatGLM2,2
50,steam,LLaMA2,ChatGLM2,1
51,steam,LLaMA2,ChatGLM2,1
52,steam,LLaMA2,ChatGLM2,1
53,steam,LLaMA2,ChatGLM2,1
54,steam,LLaMA2,ChatGLM2,1
55,steam,LLaMA2,ChatGLM2,1
56,steam,LLaMA2,ChatGLM2,1
57,steam,LLaMA2,ChatGLM2,1
58,steam,LLaMA2,ChatGLM2,1
59,steam,LLaMA2,ChatGLM2,2
60,steam,LLaMA2,ChatGLM2,1
61,steam,LLaMA2,ChatGLM2,1
62,steam,LLaMA2,ChatGLM2,1
63,steam,LLaMA2,ChatGLM2,1
64,steam,LLaMA2,ChatGLM2,1
65,steam,LLaMA2,ChatGLM2,1
66,steam,LLaMA2,ChatGLM2,1
67,steam,LLaMA2,ChatGLM2,1
68,steam,LLaMA2,ChatGLM2,1
69,steam,LLaMA2,ChatGLM2,1
70,steam,LLaMA2,ChatGLM2,1
71,steam,LLaMA2,ChatGLM2,1
72,steam,LLaMA2,ChatGLM2,1
73,steam,LLaMA2,ChatGLM2,1
74,steam,LLaMA2,ChatGLM2,1
75,steam,LLaMA2,ChatGLM2,1
76,steam,LLaMA2,ChatGLM2,1
77,steam,LLaMA2,ChatGLM2,1
78,steam,LLaMA2,ChatGLM2,2
79,steam,LLaMA2,ChatGLM2,2
80,steam,LLaMA2,ChatGLM2,1
81,steam,LLaMA2,ChatGLM2,1
82,steam,LLaMA2,ChatGLM2,1
83,steam,LLaMA2,ChatGLM2,1
84,steam,LLaMA2,ChatGLM2,2
85,steam,LLaMA2,ChatGLM2,1
86,steam,LLaMA2,ChatGLM2,1
87,steam,LLaMA2,ChatGLM2,1
88,steam,LLaMA2,ChatGLM2,1
89,steam,LLaMA2,ChatGLM2,1
90,steam,LLaMA2,ChatGLM2,1
91,steam,LLaMA2,ChatGLM2,1
92,steam,LLaMA2,ChatGLM2,1
93,steam,LLaMA2,ChatGLM2,1
94,steam,LLaMA2,ChatGLM2,1
95,steam,LLaMA2,ChatGLM2,1
96,steam,LLaMA2,ChatGLM2,1
97,steam,LLaMA2,ChatGLM2,1
98,steam,LLaMA2,ChatGLM2,1
99,steam,LLaMA2,ChatGLM2,1
100,steam,LLaMA2,ChatGLM2,1
101,steam,LLaMA2,ChatGLM2,2
102,steam,LLaMA2,ChatGLM2,1
103,steam,LLaMA2,ChatGLM2,1
104,steam,LLaMA2,ChatGLM2,1
105,steam,LLaMA2,ChatGLM2,1
106,steam,LLaMA2,ChatGLM2,1
107,steam,LLaMA2,ChatGLM2,1
108,steam,LLaMA2,ChatGLM2,1
109,steam,LLaMA2,ChatGLM2,1
110,steam,LLaMA2,ChatGLM2,1
111,steam,LLaMA2,ChatGLM2,1
112,steam,LLaMA2,ChatGLM2,1
113,steam,LLaMA2,ChatGLM2,1
114,steam,LLaMA2,ChatGLM2,1
115,steam,LLaMA2,ChatGLM2,2
116,steam,LLaMA2,ChatGLM2,2
117,steam,LLaMA2,ChatGLM2,1
118,steam,LLaMA2,ChatGLM2,1
119,steam,LLaMA2,ChatGLM2,1
120,steam,LLaMA2,ChatGLM2,1
121,steam,LLaMA2,ChatGLM2,1
122,steam,LLaMA2,ChatGLM2,1
123,steam,LLaMA2,ChatGLM2,1
124,steam,LLaMA2,ChatGLM2,1
125,steam,LLaMA2,ChatGLM2,1
126,steam,LLaMA2,ChatGLM2,1
127,steam,LLaMA2,ChatGLM2,1
128,steam,LLaMA2,ChatGLM2,1
129,steam,LLaMA2,ChatGLM2,1
130,steam,LLaMA2,ChatGLM2,1
131,steam,LLaMA2,ChatGLM2,2
132,steam,LLaMA2,ChatGLM2,1
133,steam,LLaMA2,ChatGLM2,1
134,steam,LLaMA2,ChatGLM2,1
135,steam,LLaMA2,ChatGLM2,1
136,steam,LLaMA2,ChatGLM2,1
137,steam,LLaMA2,ChatGLM2,1
138,steam,LLaMA2,ChatGLM2,2
139,steam,LLaMA2,ChatGLM2,1
140,steam,LLaMA2,ChatGLM2,1
141,steam,LLaMA2,ChatGLM2,2
142,steam,LLaMA2,ChatGLM2,1
143,steam,LLaMA2,ChatGLM2,1
144,steam,LLaMA2,ChatGLM2,1
145,steam,LLaMA2,ChatGLM2,1
146,steam,LLaMA2,ChatGLM2,1
147,steam,LLaMA2,ChatGLM2,1
148,steam,LLaMA2,ChatGLM2,1
149,steam,LLaMA2,ChatGLM2,1
150,steam,LLaMA2,ChatGLM2,1
151,steam,LLaMA2,ChatGLM2,1
152,steam,LLaMA2,ChatGLM2,1
153,steam,LLaMA2,ChatGLM2,1
154,steam,LLaMA2,ChatGLM2,1
155,steam,LLaMA2,ChatGLM2,1
156,steam,LLaMA2,ChatGLM2,2
157,steam,LLaMA2,ChatGLM2,1
158,steam,LLaMA2,ChatGLM2,1
159,steam,LLaMA2,ChatGLM2,1
160,steam,LLaMA2,ChatGLM2,1
161,steam,LLaMA2,ChatGLM2,1
162,steam,LLaMA2,ChatGLM2,1
163,steam,LLaMA2,ChatGLM2,1
164,steam,LLaMA2,ChatGLM2,1
165,steam,LLaMA2,ChatGLM2,1
166,steam,LLaMA2,ChatGLM2,1
167,steam,LLaMA2,ChatGLM2,1
168,steam,LLaMA2,ChatGLM2,1
169,steam,LLaMA2,ChatGLM2,2
170,steam,LLaMA2,ChatGLM2,1
171,steam,LLaMA2,ChatGLM2,1
172,steam,LLaMA2,ChatGLM2,1
173,steam,LLaMA2,ChatGLM2,1
174,steam,LLaMA2,ChatGLM2,1
175,steam,LLaMA2,ChatGLM2,1
176,steam,LLaMA2,ChatGLM2,1
177,steam,LLaMA2,ChatGLM2,1
178,steam,LLaMA2,ChatGLM2,1
179,steam,LLaMA2,ChatGLM2,1
180,steam,LLaMA2,ChatGLM2,1
181,steam,LLaMA2,ChatGLM2,1
182,steam,LLaMA2,ChatGLM2,1
183,steam,LLaMA2,ChatGLM2,1
184,steam,LLaMA2,ChatGLM2,1
185,steam,LLaMA2,ChatGLM2,1
186,steam,LLaMA2,ChatGLM2,1
187,steam,LLaMA2,ChatGLM2,1
188,steam,LLaMA2,ChatGLM2,1
189,steam,LLaMA2,ChatGLM2,1
190,steam,LLaMA2,ChatGLM2,1
191,steam,LLaMA2,ChatGLM2,1
192,steam,LLaMA2,ChatGLM2,1
193,steam,LLaMA2,ChatGLM2,1
194,steam,LLaMA2,ChatGLM2,1
195,steam,LLaMA2,ChatGLM2,1
196,steam,LLaMA2,ChatGLM2,2
197,steam,LLaMA2,ChatGLM2,1
198,steam,LLaMA2,ChatGLM2,1
199,steam,LLaMA2,ChatGLM2,1
200,steam,LLaMA2,ChatGLM2,1
201,steam,LLaMA2,ChatGLM2,1
202,steam,LLaMA2,ChatGLM2,2
203,steam,LLaMA2,ChatGLM2,1
204,steam,LLaMA2,ChatGLM2,1
205,steam,LLaMA2,ChatGLM2,1
206,steam,LLaMA2,ChatGLM2,1
207,steam,LLaMA2,ChatGLM2,1
208,steam,LLaMA2,ChatGLM2,1
209,steam,LLaMA2,ChatGLM2,1
210,steam,LLaMA2,ChatGLM2,2
211,steam,LLaMA2,ChatGLM2,1
212,steam,LLaMA2,ChatGLM2,1
213,steam,LLaMA2,ChatGLM2,1
214,steam,LLaMA2,ChatGLM2,1
215,steam,LLaMA2,ChatGLM2,1
216,steam,LLaMA2,ChatGLM2,1
217,steam,LLaMA2,ChatGLM2,2
218,steam,LLaMA2,ChatGLM2,1
219,steam,LLaMA2,ChatGLM2,1
220,steam,LLaMA2,ChatGLM2,1
221,steam,LLaMA2,ChatGLM2,1
222,steam,LLaMA2,ChatGLM2,1
223,steam,LLaMA2,ChatGLM2,1
224,steam,LLaMA2,ChatGLM2,1
225,steam,LLaMA2,ChatGLM2,2
226,steam,LLaMA2,ChatGLM2,2
227,steam,LLaMA2,ChatGLM2,1
228,steam,LLaMA2,ChatGLM2,1
229,steam,LLaMA2,ChatGLM2,1
230,steam,LLaMA2,ChatGLM2,1
231,steam,LLaMA2,ChatGLM2,1
232,steam,LLaMA2,ChatGLM2,1
233,steam,LLaMA2,ChatGLM2,1
234,steam,LLaMA2,ChatGLM2,1
235,steam,LLaMA2,ChatGLM2,1
236,steam,LLaMA2,ChatGLM2,1
237,steam,LLaMA2,ChatGLM2,1
238,steam,LLaMA2,ChatGLM2,1
239,steam,LLaMA2,ChatGLM2,1
240,steam,LLaMA2,ChatGLM2,1
241,steam,LLaMA2,ChatGLM2,1
242,steam,LLaMA2,ChatGLM2,1
243,steam,LLaMA2,ChatGLM2,1
244,steam,LLaMA2,ChatGLM2,1
245,steam,LLaMA2,ChatGLM2,1
246,steam,LLaMA2,ChatGLM2,2
247,steam,LLaMA2,ChatGLM2,1
248,steam,LLaMA2,ChatGLM2,2
249,steam,LLaMA2,ChatGLM2,1
250,steam,LLaMA2,ChatGLM2,1
251,steam,LLaMA2,ChatGLM2,1
252,steam,LLaMA2,ChatGLM2,1
253,steam,LLaMA2,ChatGLM2,1
254,steam,LLaMA2,ChatGLM2,2
255,steam,LLaMA2,ChatGLM2,1
256,steam,LLaMA2,ChatGLM2,1
257,steam,LLaMA2,ChatGLM2,1
258,steam,LLaMA2,ChatGLM2,1
259,steam,LLaMA2,ChatGLM2,1
260,steam,LLaMA2,ChatGLM2,1
261,steam,LLaMA2,ChatGLM2,1
262,steam,LLaMA2,ChatGLM2,1
263,steam,LLaMA2,ChatGLM2,1
264,steam,LLaMA2,ChatGLM2,1
265,steam,LLaMA2,ChatGLM2,1
266,steam,LLaMA2,ChatGLM2,1
267,steam,LLaMA2,ChatGLM2,1
268,steam,LLaMA2,ChatGLM2,1
269,steam,LLaMA2,ChatGLM2,1
270,steam,LLaMA2,ChatGLM2,1
271,steam,LLaMA2,ChatGLM2,1
272,steam,LLaMA2,ChatGLM2,1
273,steam,LLaMA2,ChatGLM2,1
274,steam,LLaMA2,ChatGLM2,1
275,steam,LLaMA2,ChatGLM2,2
276,steam,LLaMA2,ChatGLM2,1
277,steam,LLaMA2,ChatGLM2,1
278,steam,LLaMA2,ChatGLM2,1
279,steam,LLaMA2,ChatGLM2,1
280,steam,LLaMA2,ChatGLM2,1
281,steam,LLaMA2,ChatGLM2,1
282,steam,LLaMA2,ChatGLM2,1
283,steam,LLaMA2,ChatGLM2,1
284,steam,LLaMA2,ChatGLM2,1
285,steam,LLaMA2,ChatGLM2,1
286,steam,LLaMA2,ChatGLM2,1
287,steam,LLaMA2,ChatGLM2,1
288,steam,LLaMA2,ChatGLM2,1
289,steam,LLaMA2,ChatGLM2,1
290,steam,LLaMA2,ChatGLM2,1
291,steam,LLaMA2,ChatGLM2,1
292,steam,LLaMA2,ChatGLM2,1
293,steam,LLaMA2,ChatGLM2,1
294,steam,LLaMA2,ChatGLM2,1
295,steam,LLaMA2,ChatGLM2,1
296,steam,LLaMA2,ChatGLM2,1
297,steam,LLaMA2,ChatGLM2,1
298,steam,LLaMA2,ChatGLM2,1
299,steam,LLaMA2,ChatGLM2,1
300,steam,LLaMA2,ChatGLM2,1
301,steam,LLaMA2,ChatGLM2,1
302,steam,LLaMA2,ChatGLM2,1
303,steam,LLaMA2,ChatGLM2,1
304,steam,LLaMA2,ChatGLM2,1
305,steam,LLaMA2,ChatGLM2,1
306,steam,LLaMA2,ChatGLM2,2
307,steam,LLaMA2,ChatGLM2,1
308,steam,LLaMA2,ChatGLM2,1
309,steam,LLaMA2,ChatGLM2,1
310,steam,LLaMA2,ChatGLM2,1
311,steam,LLaMA2,ChatGLM2,2
312,steam,LLaMA2,ChatGLM2,1
313,steam,LLaMA2,ChatGLM2,1
314,steam,LLaMA2,ChatGLM2,1
315,steam,LLaMA2,ChatGLM2,1
316,steam,LLaMA2,ChatGLM2,1
317,steam,LLaMA2,ChatGLM2,2
318,steam,LLaMA2,ChatGLM2,1
319,steam,LLaMA2,ChatGLM2,1
320,steam,LLaMA2,ChatGLM2,1
321,steam,LLaMA2,ChatGLM2,1
322,steam,LLaMA2,ChatGLM2,1
323,steam,LLaMA2,ChatGLM2,1
324,steam,LLaMA2,ChatGLM2,2
325,steam,LLaMA2,ChatGLM2,1
326,steam,LLaMA2,ChatGLM2,1
327,steam,LLaMA2,ChatGLM2,1
