rec_model,dataset,output
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,1
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,ml-100k,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
