dataset,length,win ratio
ml-100k,0,0.09166666666666666
mind_small_dev,0,0.21666666666666667
steam,0,0.041666666666666664
ml-100k,10,0.14166666666666666
mind_small_dev,10,0.35833333333333334
steam,10,0.35
ml-100k,20,0.35
mind_small_dev,20,0.3416666666666667
steam,20,0.25833333333333336
ml-100k,50,0.5
mind_small_dev,50,0.5
steam,50,0.5
ml-100k,100,0.475
mind_small_dev,100,0.5416666666666666
steam,100,0.55
ml-100k,200,0.575
mind_small_dev,200,0.5
steam,200,0.48333333333333334
ml-100k,500,0.6583333333333333
mind_small_dev,500,0.5166666666666667
steam,500,0.5166666666666667
